state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Arizona,2011,12.715113650000001,55.41657595,52.20501797,1.2034474846938772,2.163982168367344,2.2615399056122456,never
Arkansas,2011,12.980439169999999,50.06374037,42.79596931,1.1746009336734695,1.9880498494897971,2.0780295816326526,never
California,2011,13.66535813,59.27530659,52.903747759999995,0.7110141020408163,1.1621162780612235,1.149567081632651,before
Colorado,2011,15.482059240000002,70.38684304,65.41820713,1.3958159974489792,1.915173999999997,1.9582179132653057,before
Connecticut,2011,16.79706591,70.93151467,65.30835207999999,1.3962824591836738,1.9247705076530617,1.9643056479591825,never
Delaware,2011,14.59975372,66.66827907,57.45215358,1.2718932142857144,1.8680997678571456,2.08113725255102,never
Florida,2011,12.61837398,57.641083429999995,54.02667122,0.6299152857142852,1.1510634948979608,1.1191365892857157,never
Georgia,2011,11.71382976,53.85683088,49.89441145,1.091103494897959,1.9786066938775506,1.9863108903061208,never
Hawaii,2011,14.21877252,61.85017653,49.76357787,1.4472354770408162,2.0528315178571424,2.093995591836735,never
Idaho,2011,12.13932791,50.655446749999996,53.96920461,1.123092357142857,2.055229716836734,2.1003616301020394,never
Illinois,2011,13.3334857,65.0527343,58.69625544,0.7043003775510205,1.0908606989795917,1.1514352219387758,never
Indiana,2011,11.56050943,61.047632009999994,54.30659516,1.0911230637755105,1.9912152525510225,2.0909453622448977,never
Iowa,2011,15.787718410000002,66.73283168,56.432090040000006,1.2378845153061226,1.9244151377550995,2.036582604591838,never
Kansas,2011,13.263440809999999,61.83434366,54.762328839999995,1.2136227040816325,1.9904512142857143,2.0425596785714286,never
Kentucky,2011,12.796520319999999,51.026992459999995,42.24053336,1.2089526173469387,2.1145259515306116,2.0294796964285724,never
Louisiana,2011,14.09633569,58.213197029999996,49.512290799999995,1.118068045918367,1.8440615841836714,1.90601025255102,never
Maine,2011,12.42456836,62.6835382,58.00702156999999,1.152268589285714,1.933239318877553,2.078184653061223,before
Maryland,2011,12.59439064,64.12159026,58.57481333,1.1380472729591835,2.0318008571428585,2.09968899489796,never
Massachusetts,2011,15.79545148,70.5596306,67.05714834999999,1.252184492346939,1.8951870510204079,1.8852720663265294,before
Michigan,2011,12.733118020000001,62.979765629999996,57.15038833,0.6403835739795917,1.0629435306122428,1.1071191887755085,never
Minnesota,2011,13.142046030000001,67.51874667999999,63.74794987,1.178623905612245,1.9354056249999976,1.9344948061224478,never
Mississippi,2011,11.86178003,51.804160519999996,42.195886370000004,1.0557301683673472,2.0079670561224483,1.89912312244898,never
Missouri,2011,14.95723134,60.800465179999996,52.35973384,1.2077159336734693,1.8807852500000004,1.9839923724489805,never
Montana,2011,17.16840002,68.38499144,63.629400999999994,1.3154466581632651,1.7631196836734724,1.8968618163265272,never
Nebraska,2011,12.837362820000001,64.11174903999999,56.43511011,1.1247601428571428,1.8583183316326517,2.066124471938775,never
Nevada,2011,13.07732733,59.08175817,58.21729584999999,1.3240580637755102,2.1970903545918374,2.251009719387755,before
New Hampshire,2011,17.04472088,73.21814971,64.89182686,1.408986655612245,1.7146610918367324,2.0709997857142852,never
New Jersey,2011,16.83788871,64.72464714,60.442584600000004,1.348132946428572,2.057862155612243,2.02836813010204,never
New Mexico,2011,12.65042461,54.27489209,44.73513647,1.1619686020408164,2.079227617346938,2.103512471938776,never
New York,2011,16.59387912,65.53647000000001,57.67476241,0.8139151836734692,1.0867913928571444,1.1598627602040834,never
North Carolina,2011,12.91316549,61.70249155999999,51.49925724,1.1591785918367346,2.006594058673468,2.0713086275510215,never
North Dakota,2011,14.22879613,70.80611343,61.58890232,1.2353589260204079,1.8657842908163278,2.05024888520408,never
Ohio,2011,13.47726312,63.49208543,55.56454369,0.6625732219387757,1.0488592602040825,1.0861608214285716,never
Oklahoma,2011,12.78894824,57.2938987,46.41751782,1.2092212499999997,2.075422479591837,2.0206674489795917,never
Oregon,2011,14.58321949,64.220129,64.4463274,1.2103544285714287,1.8899546887755094,1.9565189770408151,before
Pennsylvania,2011,14.083017880000002,65.08418547,57.736082700000004,0.7363152448979594,1.2204113341836726,1.1260397678571428,never
Rhode Island,2011,15.01335475,71.9388577,65.07522317,1.3215689642857147,1.7944127551020408,2.114864086734693,never
South Carolina,2011,12.269846249999999,57.220791950000006,51.22251309,1.1207330637755102,1.8734338265306103,2.070075255102042,never
South Dakota,2011,16.36261547,67.77895887,58.601758579999995,1.3576336581632658,2.1631560969387746,2.040227716836736,never
Tennessee,2011,11.0390146,52.88924694,43.37035382,1.0042616198979595,2.0416923979591823,2.035946017857144,never
Texas,2011,12.148022529999999,58.45492542,53.36427544,0.6656646913265305,1.1241147653061208,1.150619625000001,never
Utah,2011,7.5674553399999995,31.306977749999998,26.95582213,1.086931823979592,2.127151061224491,1.99611281122449,never
Vermont,2011,17.77674421,73.85368525,62.83772764,1.4284867423469387,1.785410339285712,2.001650584183675,never
Virginia,2011,12.950060660000002,66.55897125,57.56041301,1.1243148698979588,1.8914337984693872,2.09391831632653,never
Washington,2011,13.223139889999999,63.43694664,61.149479559999996,1.1873416760204079,1.9848401096938817,2.023709099489795,before
West Virginia,2011,14.70620397,53.75149066,39.25754922,1.3306000051020408,1.9165148214285732,1.9890022091836737,never
Wisconsin,2011,13.935396789999999,68.91656028999999,67.24586627,1.2840850408163262,1.8705608775510205,2.0462591862244897,never
Wyoming,2011,13.95945241,57.79768826,53.581778840000005,1.246018612244898,2.0631566785714295,2.0750839566326538,never
Alabama,2012,11.36,52.65,45.56,1.0280612244897958,1.9081632653061236,1.8724489795918375,never
Alaska,2012,13.39,59.47,59.28,1.497448979591837,2.079081632653061,2.0459183673469377,before
Arizona,2012,13.07,57.05,54.75,1.2321428571428572,2.0306122448979593,2.1250000000000013,never
Arkansas,2012,12.25,50.71,42.14,1.0918367346938778,1.9846938775510208,2.0943877551020393,never
California,2012,13.08,57.76,52.96,0.7091836734693876,1.0255102040816335,1.1045918367346934,before
Colorado,2012,13.4,68.08,63.22,1.1530612244897958,1.7933673469387759,1.956632653061225,after
